,Type,CompanyName,ServiceType,ServiceTypeDetail,ListDate,FiscalMonth,CEO,Location,CompanyCode
해성옵틱스,코스닥,해성옵틱스,사진장비 및 광학기기 제조업,휴대폰용 렌즈모듈 및 카메라모듈,2013-11-06,12월,"이을성, 이재선(각자대표이사)",경기도,76610
내츄럴엔도텍,코스닥,내츄럴엔도텍,자연과학 및 공학 연구개발업,"백수오 여성호르몬제, 백수오등복합추출물(원료)",2013-10-31,12월,장 현 우,경기도,168330
현대로템,유가증권,현대로템,철도장비 제조업,"철도차량, 특수중기, 산업기계",2013-10-30,12월,이건용,경상남도,64350
수프로,코넥스,수프로,산업용 농·축산물 및 동·식물 도매업,조경수용 수목,2013-10-29,03월,채일,서울특별시,185190
테스나,코스닥,테스나,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트,2013-10-22,12월,이종도,경기도,131970
파수닷컴,코스닥,파수닷컴,소프트웨어 개발 및 공급업,기업용 문서보안 솔루션,2013-10-18,12월,조규곤,서울특별시,150900
LPK로보틱스,코넥스,LPK로보틱스,특수 목적용 기계 제조업,직교좌표로봇,2013-10-11,12월,심태호,인천광역시,183350
엘티씨,코스닥,엘티씨,기초 화학물질 제조업,FPD(LCD/OLED) 및 반도체용 박리액,2013-10-08,12월,최호성,경기도,170920
지엔씨에너지,코스닥,지엔씨에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","비상발전기, 소형열병합발전설비, 바이오가스발전설비",2013-10-02,12월,안병철,서울특별시,119850
한진칼,유가증권,한진칼,항공 여객 운송업,"지주사업, 경영자문 및 컨설팅",2013-09-16,12월,"조원태, 석태수",서울특별시,180640
아미코젠,코스닥,아미코젠,기타 식품 제조업,제약용 특수효소 및 효소기반 바이오신소재,2013-09-12,12월,신용철,경상남도,92040
엔에이치엔,유가증권,엔에이치엔,소프트웨어 개발 및 공급업,한게임,2013-08-29,12월,정우진,경기도,181710
GH신소재,코스닥,GH신소재,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02,12월,우희구,경상북도,130500
파이오링크,코스닥,파이오링크,통신 및 방송 장비 제조업,"ADC(서버부하 분산장치), 보안스위치, 웹방화벽",2013-08-01,12월,조영철,서울특별시,170790
KG ETS,코스닥,KG ETS,폐기물 처리업,"집단에너지(스팀),  산화동, 폐기물 소각",2013-07-24,12월,엄기민,경기도,151860
JB금융지주,유가증권,JB금융지주,기타 금융업,금융지주 회사,2013-07-18,12월,김기홍,전라북도,175330
나스미디어,코스닥,나스미디어,광고업,광고매체 판매,2013-07-17,12월,정기호,서울특별시,89600
하이골드12호,유가증권,하이골드12호,운송장비 임대업,,2013-07-12,12월,오운용,제주특별자치도,172580
대주이엔티,코넥스,대주이엔티,1차 철강 제조업,"이중보온관, 엘리베이터 가이드 레일",2013-07-01,12월,황광수,인천광역시,114920
비나텍,코넥스,비나텍,전자부품 제조업,초고용량 커패시터,2013-07-01,12월,성도경,전라북도,126340
에스에이티이엔지,코넥스,에스에이티이엔지,특수 목적용 기계 제조업,"FPD Bonding System, Inspection System",2013-07-01,12월,소진석,경기도,158300
에스엔피제네틱스,코넥스,에스엔피제네틱스,자연과학 및 공학 연구개발업,유전체 분석 서비스,2013-07-01,12월,신형두,서울특별시,86460
에프앤가이드,코넥스,에프앤가이드,금융 지원 서비스업,금융정보제공서비스(FnGuide.com),2013-07-01,12월,"김군호, 이철순(각자대표)",서울특별시,64850
옐로페이,코넥스,옐로페이,소프트웨어 개발 및 공급업,전자지급결제 서비스,2013-07-01,12월,이성우,서울특별시,179720
이엔드디,코넥스,이엔드디,기타 화학제품 제조업,"매연저감장치, 촉매",2013-07-01,12월,김민용,충청북도,101360
태양기계,코넥스,태양기계,자동차 신품 부품 제조업,엔진부품,2013-07-01,12월,박창엽,경기도,116100
엑세스바이오,코스닥,엑세스바이오,의료용품 및 기타 의약 관련제품 제조업,"말라리아 진단키트(RDT), HIV 진단키트(RDT)",2013-05-30,12월,최영호,미국,950130
DSR,유가증권,DSR,1차 비철금속 제조업,합섬섬유로프,2013-05-15,12월,홍석빈,부산광역시,155660
레고켐바이오,코스닥,레고켐바이오,자연과학 및 공학 연구개발업,신약후보물질 발굴을 통한 License-Out,2013-05-10,12월,김용주,대전광역시,141080
한국패러랠,유가증권,한국패러랠,신탁업 및 집합투자업,,2013-04-19,03월,한국투자신탁운용(주),서울특별시,168490
동아에스티,유가증권,동아에스티,의약품 제조업,"스티렌, 자이데나",2013-04-08,12월,엄대식 (단독대표),서울특별시,170900
인터불스,코스닥,인터불스,특수 목적용 기계 제조업,"FPCB 공정 자동화 장비(가이드홀펀처, 비젼프레스, 커버레이가접기 등)",2013-04-03,12월,박원석,경기도,158310
윈팩,코스닥,윈팩,반도체 제조업,반도체 패키징 및 테스트,2013-03-07,12월,이한규,경기도,97800
코렌텍,코스닥,코렌텍,의료용 기기 제조업,"인공고관절, 인공슬관절 등",2013-03-05,12월,"선두훈,선승훈(각자 대표이사)",충청남도,104540
제로투세븐,코스닥,제로투세븐,생활용품 도매업,유아동복 및 용품,2013-02-19,12월,"김정민, 조성철, 이충하 (각자 대표이사)",서울특별시,159580
아이원스,코스닥,아이원스,특수 목적용 기계 제조업,"반도체 장비 부품 제조 및 세정, LCD 장비 부품 제조",2013-02-07,12월,김 병 기,경기도,114810
우리이앤엘,코스닥,우리이앤엘,반도체 제조업,LED 패키지,2013-02-05,12월,권경환,경기도,153490
아이센스,코스닥,아이센스,의료용 기기 제조업,"혈당측정스트립, 혈당측정기기 등",2013-01-30,12월,차근식,서울특별시,99190
포티스,코스닥,포티스,무점포 소매업,셋톱박스,2013-01-29,12월,윤강열,경기도,141020
스킨앤스킨,코스닥,스킨앤스킨,기타 화학제품 제조업,"화장품제조,OLED발광소재, OLED승화정제장비",2012-12-27,12월,서세환,경기도,159910
SBI핀테크솔루션즈,코스닥,SBI핀테크솔루션즈,소프트웨어 개발 및 공급업,전자결제대행 및 핀테크 비스,2012-12-17,03월,산몬지 마사타카,일본,950110
우리로,코스닥,우리로,통신 및 방송 장비 제조업,"광분배기(웨이퍼, 칩, 모듈), 광다이오드",2012-11-27,12월,박세철,광주광역시,46970
디젠스,코스닥,디젠스,자동차 신품 부품 제조업,자동차용 소음기(머플러),2012-11-22,12월,이석우,경기도,113810
지엠비코리아,유가증권,지엠비코리아,자동차 신품 부품 제조업,"VS, TIB, CVJoint 등",2012-11-20,12월,"정세영, 변종문",경상남도,13870
맥스로텍,코스닥,맥스로텍,특수 목적용 기계 제조업,갠트리로봇 공장자동화시스템,2012-11-16,12월,김인환,대구광역시,141070
와이엠씨,코스닥,와이엠씨,전자부품 제조업,"FPD 패널용 Target, Backing Plate 등",2012-11-15,12월,이윤용,충청남도,155650
CJ헬로,유가증권,CJ헬로,텔레비전 방송업,"케이블TV, 인터넷서비스 등",2012-11-09,12월,변동식,서울특별시,37560
아바텍,코스닥,아바텍,전자부품 제조업,"Glass Slimming & ITO코팅 제품, PDP필터",2012-11-06,12월,"박명섭 공동대표이사, 위지명 공동대표이사",대구광역시,149950
동일고무벨트,유가증권,동일고무벨트,고무제품 제조업,"산업용고무제품, 종합고무부품",2012-10-19,12월,문승필,부산광역시,163560
한국콜마,유가증권,한국콜마,기타 화학제품 제조업,"화장품, 의약품",2012-10-19,12월,"윤상현, 이호경, 안병준",세종특별자치시,161890
한국타이어,유가증권,한국타이어,고무제품 제조업,타이어 제조,2012-10-04,12월,"조현범,이수일",서울특별시,161390
코이즈,코스닥,코이즈,플라스틱제품 제조업,"보호필름, 도광판, 백코팅",2012-09-27,12월,조재형,충청북도,121850
모다,코스닥,모다,통신 및 방송 장비 제조업,무선 데이터 통신 단말기,2012-09-25,12월,김선규,서울특별시,149940
애경유화,유가증권,애경유화,기초 화학물질 제조업,오르토프탈산디옥틸,2012-09-17,12월,임재영,서울특별시,161000
하이골드8호,유가증권,하이골드8호,운송장비 임대업,선박펀드,2012-09-17,12월,오운용,제주특별자치도,159650
나노스,코스닥,나노스,전자부품 제조업,"Blue Filter, IR Filter, Camera Module",2012-08-02,12월,양선길,경기도,151910
AJ렌터카,유가증권,AJ렌터카,운송장비 임대업,승용자동차 임대,2012-07-27,12월,전롱배,서울특별시,68400
엠씨넥스,코스닥,엠씨넥스,영상 및 음향기기 제조업,휴대폰용자동차용 카메라모듈,2012-07-25,12월,민동욱,서울특별시,97520
네이블커뮤니케이션즈,코스닥,네이블커뮤니케이션즈,소프트웨어 개발 및 공급업,"유무선융합 인프라, 클라이언트 및 All-IP 통신보안",2012-07-19,12월,"심재희, 이준원(각자대표)",서울특별시,153460
디지탈옵틱,코스닥,디지탈옵틱,사진장비 및 광학기기 제조업,휴대폰 및 차량용 카메라렌즈,2012-07-13,12월,곽윤식,경기도,106520
피엔티,코스닥,피엔티,특수 목적용 기계 제조업,2차전지 및 전자소재용 Roll-to-Roll 장비,2012-07-06,12월,김준섭,경상북도,137400
바다로19호,유가증권,바다로19호,운송장비 임대업,,2012-06-29,12월,박현주,제주특별자치도,155900
사조씨푸드,유가증권,사조씨푸드,수산물 가공 및 저장 처리업,횟감용 참치 및 기타 일반수산물,2012-06-29,12월,최창욱,서울특별시,14710
비아트론,코스닥,비아트론,특수 목적용 기계 제조업,AMOLED 등 제조장비,2012-05-04,12월,김 형 준,경기도,141000
하이골드3호,유가증권,하이골드3호,운송장비 임대업,,2012-05-04,12월,오운용,제주특별자치도,153360
코오롱머티리얼,유가증권,코오롱머티리얼,화학섬유 제조업,"합성섬유 제조/직물 도매,무역",2012-04-05,12월,대표이사 사장 최석순,경기도,144620
빛샘전자,코스닥,빛샘전자,전자부품 제조업,"전광판용 LED 모듈, LED 전광판, 광접속함체",2012-03-21,12월,강만준,경기도,72950
한국ANKOR유전,유가증권,한국ANKOR유전,신탁업 및 집합투자업,,2012-03-08,03월,한국투자신탁운용,서울특별시,152550
휴비스,유가증권,휴비스,화학섬유 제조업,"합성섬유(폴리에스테르원사,원면),재생섬유,폴리에스텔 원사,원면,고상칩 제조,도소매",2012-02-23,12월,신유동,서울특별시,79980
사람인에이치알,코스닥,사람인에이치알,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","온라인 채용광고(취업포털), 인재파견, 취업지원 등",2012-02-21,12월,김용환,서울특별시,143240
뉴로스,코스닥,뉴로스,일반 목적용 기계 제조업,터보블로워,2012-02-15,12월,김승우,대전광역시,126870
제룡산업,코스닥,제룡산업,"구조용 금속제품, 탱크 및 증기발생기 제조업",송배전 금구류 및 합성수지 제품,2012-02-13,12월,박종태,서울특별시,147830
남화토건,코스닥,남화토건,건물 건설업,"건축공사, 토목공사",2012-01-31,12월,"최상준, 최재훈",전라남도,91590
케이탑리츠,유가증권,케이탑리츠,부동산 임대 및 공급업,부동산 임대,2012-01-31,12월,이명식,서울특별시,145270
메지온,코스닥,메지온,자연과학 및 공학 연구개발업,"발기부전증치료제, 전립선비대증치료제",2012-01-20,12월,박동현,서울특별시,140410
원익머트리얼즈,코스닥,원익머트리얼즈,기초 화학물질 제조업,"저메인가스,디실란,아산화질소,암모니아 등",2011-12-28,12월,한우성,충청북도,104830
디엔에이링크,코스닥,디엔에이링크,자연과학 및 공학 연구개발업,"유전체분석(EGIS), 개인유전체분석(DNAGPS)",2011-12-26,12월,이종은,서울특별시,127120
GS리테일,유가증권,GS리테일,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,12월,허연수,서울특별시,7070
나이스디앤비,코스닥,나이스디앤비,기타 사업지원 서비스업,기업신용조사 보고서,2011-12-22,12월,노 영 훈,서울특별시,130580
시큐브,코스닥,시큐브,소프트웨어 개발 및 공급업,"시스템보안관리솔루션, 정보유출방지솔루션",2011-12-21,12월,홍기융,서울특별시,131090
서암기계공업,코스닥,서암기계공업,일반 목적용 기계 제조업,"공작기계부품(정밀기어,척),산업기계 제조부동산 임대",2011-12-19,12월,"권영호, 권영열",광주광역시,100660
인터지스,유가증권,인터지스,도로 화물 운송업,"화물운송,알선,하역",2011-12-16,12월,정원우,부산광역시,129260
씨유메디칼,코스닥,씨유메디칼,의료용 기기 제조업,심장제세동기,2011-12-15,12월,나학록,강원도,115480
삼양사,유가증권,삼양사,기타 식품 제조업,설탕,2011-12-05,12월,"박순철, 송자량",서울특별시,145990
파인넥스,코스닥,파인넥스,반도체 제조업,사파이어 잉곳,2011-12-05,12월,김용석,경기도,123260
키네마스터,코스닥,키네마스터,소프트웨어 개발 및 공급업,"NexMFW, NexPlayer EMB",2011-12-02,12월,임일택,서울특별시,139670
비덴트,코스닥,비덴트,통신 및 방송 장비 제조업,방송용  LCD모니터,2011-12-01,12월,김재욱,서울특별시,121800
에스에프씨,코스닥,에스에프씨,플라스틱제품 제조업,"태양광 모듈용 백시트, 라미네이팅 필름",2011-11-30,12월,정지수,충청남도,112240
신진에스엠,코스닥,신진에스엠,기타 금속 가공제품 제조업,표준 플레이트,2011-11-28,12월,"김홍기, 김은식(각자대표)",전라북도,138070
이엠넷,코스닥,이엠넷,광고업,온라인 검색광고 대행,2011-11-25,12월,김영원,서울특별시,123570
와이지엔터테인먼트,코스닥,와이지엔터테인먼트,오디오물 출판 및 원판 녹음업,"음악 및 기타 오디오물 출판, 신인 아티스트 육성 및 매니지먼트",2011-11-23,12월,양민석,서울특별시,122870
쎄미시스코,코스닥,쎄미시스코,특수 목적용 기계 제조업,"EGIS(유리기판 검사장비), Smart-EPD 및 Smart-HMS(플라즈마 검사장비)",2011-11-18,12월,이순종,경기도,136510
에이티세미콘,코스닥,에이티세미콘,반도체 제조업,반도체 PKG&TEST,2011-11-11,12월,김형준,경기도,89530
테크윙,코스닥,테크윙,특수 목적용 기계 제조업,"반도체테스트핸들러,C.O.K(Change Over Kit)",2011-11-10,12월,나윤성,경기도,89030
씨큐브,코스닥,씨큐브,기초 화학물질 제조업,진주광택안료,2011-11-08,12월,장길완,충청북도,101240
에스엠코어,코스닥,에스엠코어,일반 목적용 기계 제조업,"자동화물류서비스, 자동화공정설비",2011-11-08,12월,이준영,서울특별시,7820
씨엔플러스,코스닥,씨엔플러스,전자부품 제조업,커넥터,2011-11-02,12월,문원식,경기도,115530
하나투어,유가증권,하나투어,여행사 및 기타 여행보조 서비스업,"일반여행알선,컴퓨터프로그램 개발,보급,통신판매",2011-11-01,12월,"박상환, 김진국(각자대표)",서울특별시,39130
케이맥,코스닥,케이맥,특수 목적용 기계 제조업,"FPD, 반도체 공정용 검사장비 및 바이오/의료진단기기, Lab용 분석기기",2011-10-25,12월,이재원,대전광역시,43290
로보스타,코스닥,로보스타,특수 목적용 기계 제조업,"제조용 로봇, FPD 장비, IT부품 제조장비",2011-10-17,12월,강귀덕,경기도,90360
대한과학,코스닥,대한과학,기계장비 및 관련 물품 도매업,"의료, 정밀 및 연구실험기기 제조 및 유통",2011-10-11,12월,"서정구,서현정(공동대표)",강원도,131220
피앤이솔루션,코스닥,피앤이솔루션,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","2차전지 공정용 장비, 산업용 정류기",2011-09-27,12월,"정대택, 김용을 (각자대표이사)",경기도,131390
아이디스,코스닥,아이디스,통신 및 방송 장비 제조업,"영상보안장치(DVR,NVR,IP-Camera 등)",2011-09-26,12월,김영달,대전광역시,143160
에이블씨엔씨,유가증권,에이블씨엔씨,기타 화학제품 제조업,"화장품 제조,도소매/소프트웨어 자문,개발,공급/전자상거래",2011-09-07,12월,"이세훈, 이해준",서울특별시,78520
화진,코스닥,화진,자동차 신품 부품 제조업,"우드그레인, IPE",2011-08-10,12월,"김용재, 심윤보(각자대표)",경상북도,134780
제이씨케미칼,코스닥,제이씨케미칼,기타 화학제품 제조업,"바이오디젤, 글리세린 등",2011-08-08,12월,윤사호,울산광역시,137950
아이씨디,코스닥,아이씨디,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입",2011-08-05,12월,이승호,경기도,40910
제닉,코스닥,제닉,기타 화학제품 제조업,"하이드로겔 마스크 팩, 기타화장품",2011-08-03,12월,박철홍,경기도,123330
데일리블록체인,코스닥,데일리블록체인,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","용역서비스(ITS,BIS,ATMS,BRT)",2011-07-29,12월,김남진,경기도,139050
삼원강재,유가증권,삼원강재,자동차 신품 부품 제조업,"열간압연제품(평강,봉강,특수이형강,환강,자동차용 겹판스프링) 제조,판매",2011-07-22,12월,"허재철, 장범석 (각자대표)",경상북도,23000
상아프론테크,코스닥,상아프론테크,플라스틱제품 제조업,"LCD 부품, 사무기기 부품, PCB 부품, 2차전지 부품",2011-07-21,12월,이상원,인천광역시,89980
신세계인터내셔날,유가증권,신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매",2011-07-14,12월,"차정호, 이길한 (각자대표)",서울특별시,31430
에이리츠,유가증권,에이리츠,부동산 임대 및 공급업,,2011-07-14,12월,김종국 (단독 대표이사),서울특별시,140910
나이벡,코스닥,나이벡,의료용품 및 기타 의약 관련제품 제조업,"치아미백제,치과용 골이식재",2011-07-13,12월,정종평,충청북도,138610
옵티시스,코스닥,옵티시스,통신 및 방송 장비 제조업,광링크 모듈 등,2011-07-12,12월,신현국,경기도,109080
대양전기공업,코스닥,대양전기공업,선박 및 보트 건조업,"해상용 조명등기구, (함정용)전자시스템, 배전반류 등",2011-07-08,12월,서영우,부산광역시,108380
한국항공우주,유가증권,한국항공우주,"항공기,우주선 및 부품 제조업","정부방산 및 완제기 수출(T-50계열, KUH계열, KT-1계열 등), 기체부품",2011-06-30,12월,Jo Won Kim,경상남도,47810
롯데하이마트,유가증권,롯데하이마트,가전제품 및 정보통신장비 소매업,"가전제품,잡화 도소매/부동산 임대",2011-06-29,12월,이동우,서울특별시,71840
서연탑메탈,코스닥,서연탑메탈,특수 목적용 기계 제조업,자동차금형.건설중장비 부품,2011-06-24,12월,"최원재, 류병완(각자대표이사)",인천광역시,19770
한세엠케이,유가증권,한세엠케이,"섬유, 의복, 신발 및 가죽제품 소매업","케주얼웨어(BUCKAROO, TBJ 등)",2011-06-21,12월,"김동녕, 김문환(각자 대표이사)",서울특별시,69640
코오롱플라스틱,유가증권,코오롱플라스틱,합성고무 및 플라스틱 물질 제조업,엔지니어링플라스틱,2011-06-15,12월,김영범,경상북도,138490
넥스트아이,코스닥,넥스트아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","LCD 편광필름 검사장비, BLU 검사장비 등",2011-06-14,12월,진광(Chen Guang),경기도,137940
리켐,코스닥,리켐,기초 화학물질 제조업,"이차전지 전해액 소재, LCD 공정용 에천트 소재",2011-06-14,06월,김우,충청남도,131100
이마트,유가증권,이마트,종합 소매업,대형마트,2011-06-10,12월,이갑수,서울특별시,139480
DGB금융지주,유가증권,DGB금융지주,기타 금융업,지주회사,2011-06-07,12월,김태오,대구광역시,139130
케이티스카이라이프,유가증권,케이티스카이라이프,텔레비전 방송업,주요제품1,2011-06-03,12월,강국현,서울특별시,53210
엘아이에스,코스닥,엘아이에스,특수 목적용 기계 제조업,"LGP Engraving M/C, Cell Sealing M/C",2011-06-02,12월,임태원,경기도,138690
세아특수강,유가증권,세아특수강,1차 철강 제조업,"냉간압조용선재,마봉강,스테인레스봉강 제조",2011-06-01,12월,전주병,경상북도,19440
KMH,코스닥,KMH,텔레비전 방송업,방송채널사업 및 방송송출서비스,2011-05-25,12월,한찬수,서울특별시,122450
골프존뉴딘홀딩스,코스닥,골프존뉴딘홀딩스,상품 중개업,골프시뮬레이터,2011-05-20,12월,최덕형,서울특별시,121440
메리츠금융지주,유가증권,메리츠금융지주,기타 금융업,투자사업,2011-05-13,12월,김용범,서울특별시,138040
윈스,코스닥,윈스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네크워크보안장비(IPS, 안티 DDoS)",2011-05-02,12월,김대연,경기도,136540
하림,코스닥,하림,"도축, 육류 가공 및 저장 처리업","육계, 육계가공식품",2011-05-02,12월,"김홍국, 박길연, 윤석춘(각자대표)",전라북도,136480
한국종합기술,유가증권,한국종합기술,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,감리,측량/토목건축공사",2011-04-28,12월,이상민,경기도,23350
이퓨쳐,코스닥,이퓨쳐,"서적, 잡지 및 기타 인쇄물 출판업",Smart Phonics 등(외국어 어학교재),2011-04-27,12월,황경호,서울특별시,134060
티케이케미칼,코스닥,티케이케미칼,화학섬유 제조업,"수지, 폴리에스터, 스판덱스",2011-04-26,12월,김해규,대구광역시,104480
BNK금융지주,유가증권,BNK금융지주,기타 금융업,금융지주회사,2011-03-30,12월,김지완,부산광역시,138930
일진머티리얼즈,유가증권,일진머티리얼즈,전자부품 제조업,"인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매",2011-03-04,12월,"허재명,주재환",전라북도,20150
부스타,코스닥,부스타,"구조용 금속제품, 탱크 및 증기발생기 제조업","관류보일러,진공온수보일러,무압온수보일러,난방기 제조,판매",2011-02-23,12월,유승협,충청북도,8470
현대위아,유가증권,현대위아,자동차 신품 부품 제조업,"자동차부품, 공작기계 등",2011-02-21,12월,김경배,경상남도,11210
선진,유가증권,선진,동물용 사료 및 조제식품 제조업,조제동물사료,2011-02-16,12월,이범권,경기도,136490
미원화학,유가증권,미원화학,기타 화학제품 제조업,"계면활성제, 황산및분황",2011-02-15,12월,정규식,울산광역시,134380
나노신소재,코스닥,나노신소재,기타 화학제품 제조업,"인듐계 산화물 TCO Target, 반도체 CMP Slurry 등",2011-02-09,12월,박장우,세종특별자치시,121600
케이아이엔엑스,코스닥,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷연동서비스 등,2011-02-08,12월,"이선영, 김지욱",서울특별시,93320
티피씨글로벌,코스닥,티피씨글로벌,자동차 신품 부품 제조업,"정밀인발강관, 정밀강관, Water pipe, Filler Neck 등",2011-02-08,12월,이정훈,경상북도,130740
딜리,코스닥,딜리,컴퓨터 및 주변장치 제조업,디지털 UV 프린터,2011-01-31,12월,최근수,경기도,131180
엘비세미콘,코스닥,엘비세미콘,반도체 제조업,"골드범핑, 솔더범핑 등",2011-01-31,12월,박노만,경기도,61970
제이엔케이히터,코스닥,제이엔케이히터,일반 목적용 기계 제조업,산업용가열로,2011-01-31,12월,김방희,서울특별시,126880
블루콤,코스닥,블루콤,영상 및 음향기기 제조업,"마이크로스피커, 블루투스헤드셋, Linear 진동모터",2011-01-26,12월,김종규,인천광역시,33560
인트론바이오,코스닥,인트론바이오,기초 의약물질 및 생물학적 제제 제조업,"바이오신약, 핵산검사제, 동물용 항생제 대체재",2011-01-26,12월,"윤성준, 윤경원(각자대표)",경기도,48530
시디즈,유가증권,시디즈,가구 제조업,의자,2011-01-25,12월,대표이사 손태일,경기도,134790
다나와,코스닥,다나와,소프트웨어 개발 및 공급업,"인터넷쇼핑몰 가격비교서비스, 온라인광고",2011-01-24,12월,"손윤환, 안징현",서울특별시,119860
알서포트,코스닥,알서포트,소프트웨어 개발 및 공급업,"원격지원,제어 솔루션",2011-01-05,12월,서형수,서울특별시,131370
인텍플러스,코스닥,인텍플러스,특수 목적용 기계 제조업,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",2011-01-05,12월,이상윤,대전광역시,64290
티에스이,코스닥,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","Probe Card, Test Interface Board, LED Test Equipment",2011-01-05,12월,"김철호, 오창수",충청남도,131290
HSD엔진,유가증권,HSD엔진,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04,12월,고영열,경상남도,82740
액트,코스닥,액트,전자부품 제조업,연성회로기판,2010-12-27,12월,김성범,대구광역시,131400
대성에너지,유가증권,대성에너지,연료용 가스 제조 및 배관공급업,천연가스,2010-12-24,12월,"대표이사 김영훈
대표이사 우중본",대구광역시,117580
현대에이치씨엔,유가증권,현대에이치씨엔,텔레비전 방송업,방송업,2010-12-23,12월,김성일,서울특별시,126560
대정화금,코스닥,대정화금,기초 화학물질 제조업,"시약, 원료의약품",2010-12-20,12월,송영준,경기도,120240
KTis,유가증권,KTis,기타 정보 서비스업,"114전화번호안내, 고객센터",2010-12-17,12월,이응호,서울특별시,58860
한전산업,유가증권,한전산업,"건축기술, 엔지니어링 및 관련 기술 서비스업","발전설비 운전·정비, 전기검침",2010-12-16,12월,홍원의,서울특별시,130660
피제이메탈,코스닥,피제이메탈,1차 비철금속 제조업,"탈산제, 조재제",2010-12-13,12월,원경연,서울특별시,128660
디에이치피코리아,코스닥,디에이치피코리아,의약품 제조업,티어린프리점안액,2010-12-03,12월,여대훈,충청북도,131030
제이스테판,코스닥,제이스테판,컴퓨터 및 주변장치 제조업,"POS프린터, Mobile프린터, Label프린터",2010-12-01,12월,염승용,경기도,96690
엘브이엠씨,유가증권,엘브이엠씨,자동차 판매업,지주회사,2010-11-30,12월,"오세영, 이형승(각자 대표이사)",케이맨 제도,900140
티비씨,코스닥,티비씨,텔레비전 방송업,"텔레비젼 방송,문화서비스,광고/출판,음반 제작,도매",2010-11-29,12월,"최진민, 김정길",대구광역시,33830
시그네틱스,코스닥,시그네틱스,반도체 제조업,반도체 패키징,2010-11-26,12월,김재흥,경기도,33170
썬텍,코스닥,썬텍,금속 주조업,열간 압연롤,2010-11-26,12월,주승환,서울특별시,122800
한국전자인증,코스닥,한국전자인증,소프트웨어 개발 및 공급업,"개인용이메일 보안,인증업무,전자상거래관련 인증서비스/기업용 인증솔루션 제공",2010-11-19,12월,신홍식,서울특별시,41460
디케이락,코스닥,디케이락,일반 목적용 기계 제조업,"DK-Lok 피팅, D-Pro 밸브",2010-11-12,12월,노은식,경상남도,105740
코프라,코스닥,코프라,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩,2010-11-12,12월,한상용,경기도,126600
선데이토즈,코스닥,선데이토즈,소프트웨어 개발 및 공급업,모바일게임,2010-11-10,12월,김정섭,경기도,123420
삼본전자,코스닥,삼본전자,영상 및 음향기기 제조업,"이어폰,헤드폰,키패드",2010-11-05,12월,조부현,경기도,111870
아나패스,코스닥,아나패스,반도체 제조업,Timing Controller(TCON),2010-11-05,12월,이경호,서울특별시,123860
KNN,코스닥,KNN,텔레비전 방송업,방송프로그램 제작 및 송출,2010-11-03,12월,김병근,부산광역시,58400
동양네트웍스,유가증권,동양네트웍스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합소프트웨어 개발, 전자상거래",2010-11-02,12월,김용석,서울특별시,30790
누리플랜,코스닥,누리플랜,"구조용 금속제품, 탱크 및 증기발생기 제조업","경관조명, 경관시설",2010-10-26,12월,이규홍,경기도,69140
아이텍,코스닥,아이텍,"그외 기타 전문, 과학 및 기술 서비스업",비메모리 반도체 테스트,2010-10-26,12월,이정섭,경기도,119830
인화정공,코스닥,인화정공,선박 및 보트 건조업,선박엔진부품,2010-10-22,12월,이인,경상남도,101930
코렌,코스닥,코렌,사진장비 및 광학기기 제조업,카메라폰용 렌즈,2010-10-22,12월,지을렬,경기도,78650
아이씨케이,코스닥,아이씨케이,전자부품 제조업,신용카드 및 전자화폐 등,2010-10-19,12월,김남주,대구광역시,68940
한일진공,코스닥,한일진공,특수 목적용 기계 제조업,진공장비,2010-10-05,12월,"김지훈, 이청균",인천광역시,123840
휠라코리아,유가증권,휠라코리아,생활용품 도매업,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",2010-09-28,12월,윤근창,서울특별시,81660
